MJD,Altitude,Latitude,Longitude,SPS,Alpha
32319.25139,6.78E+03,-3.51E+01,345.597597,107.231175,90
32319.25208,6.71E+03,-3.55E+01,345.748551,107.055545,90
32319.25278,6.64E+03,-3.59E+01,345.90924,106.876087,90
32319.25347,6.56E+03,-3.63E+01,346.080112,106.692686,90
32319.25417,6.49E+03,-3.68E+01,346.261646,106.50522,90
32319.25486,6.42E+03,-3.72E+01,346.45435,106.313564,90
32319.25556,6.35E+03,-3.76E+01,346.658763,106.117588,90
32319.25625,6.27E+03,-3.81E+01,346.875461,105.917156,90
32319.25694,6.20E+03,-3.86E+01,347.105057,105.712124,90
32319.25764,6.12E+03,-3.90E+01,347.348202,105.502346,90
32319.25833,6.05E+03,-3.95E+01,347.605595,105.287666,90
32319.25903,5.97E+03,-3.99E+01,347.87798,105.067924,90
32319.25972,5.89E+03,-4.04E+01,348.166154,104.842951,90
32319.26042,5.82E+03,-4.09E+01,348.470967,104.612572,90
32319.26111,5.74E+03,-4.14E+01,348.793335,104.376602,90
32319.26181,5.66E+03,-4.19E+01,349.134233,104.134851,90
32319.2625,5.58E+03,-4.24E+01,349.494714,103.887118,90
32319.26319,5.50E+03,-4.29E+01,349.875903,103.633193,90
32319.26389,5.42E+03,-4.34E+01,350.279015,103.372858,90
32319.26458,5.34E+03,-4.39E+01,350.705353,103.105883,90
32319.26528,5.25E+03,-4.44E+01,351.156322,102.832029,90
32319.26597,5.17E+03,-4.49E+01,351.633436,102.551044,90
32319.26667,5.09E+03,-4.55E+01,352.138329,102.262666,90
32319.26736,5.00E+03,-4.60E+01,352.672764,101.966621,90
32319.26806,4.92E+03,-4.66E+01,353.238645,101.662619,90
32319.26875,4.83E+03,-4.71E+01,353.838032,101.35036,90
32319.26944,4.75E+03,-4.77E+01,354.473151,101.029528,90
32319.27014,4.66E+03,-4.82E+01,355.146413,100.699791,90
32319.27083,4.57E+03,-4.88E+01,355.860424,100.360803,90
32319.27153,4.48E+03,-4.93E+01,356.618009,100.012201,90
32319.27222,4.39E+03,-4.99E+01,357.422224,99.653602,90
32319.27292,4.30E+03,-5.05E+01,358.276377,99.28461,90
32319.27361,4.21E+03,-5.11E+01,359.184047,98.904806,90
32319.27431,4.12E+03,-5.16E+01,0.149101,98.513752,90
32319.275,4.03E+03,-5.22E+01,1.175711,98.11099,90
32319.27569,3.94E+03,-5.28E+01,2.268375,97.696041,90
32319.27639,3.85E+03,-5.34E+01,3.431925,97.268403,90
32319.27708,3.75E+03,-5.39E+01,4.671536,96.827552,90
32319.27778,3.66E+03,-5.45E+01,5.992731,96.372942,90
32319.27847,3.56E+03,-5.51E+01,7.401367,95.904,90
32319.27917,3.47E+03,-5.56E+01,8.903614,95.420133,90
32319.27986,3.37E+03,-5.62E+01,10.505916,94.920721,90
32319.28056,3.28E+03,-5.67E+01,12.21492,94.405122,90
32319.28125,3.18E+03,-5.72E+01,14.037383,93.872671,90
32319.28194,3.08E+03,-5.77E+01,15.980032,93.32268,90
32319.28264,2.99E+03,-5.82E+01,18.049382,92.754442,90
32319.28333,2.89E+03,-5.86E+01,20.251501,92.167232,90
32319.28403,2.79E+03,-5.90E+01,22.591703,91.560309,90
32319.28472,2.69E+03,-5.94E+01,25.074192,90.932923,90
32319.28542,2.59E+03,-5.97E+01,27.70164,90.28432,90
32319.28611,2.50E+03,-5.99E+01,30.474713,89.613749,90
32319.28681,2.40E+03,-6.01E+01,33.391587,88.920471,90
32319.2875,2.30E+03,-6.02E+01,36.44747,88.203772,90
32319.28819,2.20E+03,-6.03E+01,39.63421,87.462977,90
32319.28889,2.10E+03,-6.02E+01,42.940021,86.69747,90
